resource_id,resource_role,event_count,case_count,processing_hours,automated_rate,workload_share
B-08,Buyer,2482,2364,1292.9144999999999,0.0,0.030968147840297305
B-07,Buyer,2492,2366,1289.7048333333332,0.0,0.030891269259500656
B-01,Buyer,2454,2308,1287.0240000000001,0.0,0.030827057400942447
B-06,Buyer,2457,2324,1277.9553333333336,0.0,0.03060984287511904
B-03,Buyer,2401,2272,1255.8840000000002,0.0,0.03008118586516274
B-10,Buyer,2388,2268,1246.0555,0.0,0.029845771658694818
B-02,Buyer,2352,2210,1230.6970000000001,0.0,0.02947790178129364
B-04,Buyer,2343,2225,1219.9944999999998,0.0,0.029221553351246033
B-09,Buyer,2350,2234,1215.801,0.0,0.02912110979680505
B-05,Buyer,2281,2163,1200.5571666666665,0.0,0.028755986438439497
AP-05,Accounts Payable,2906,2685,1103.7414999999999,0.0,0.026437038140937785
AP-09,Accounts Payable,2866,2657,1093.1468333333332,0.0,0.026183272556553047
AP-04,Accounts Payable,2796,2590,1085.531,0.0,0.026000856586592364
AP-06,Accounts Payable,2855,2641,1073.8321666666666,0.0,0.025720643780389275
AP-03,Accounts Payable,2880,2675,1070.6758333333335,0.0,0.025645042650306878
AP-07,Accounts Payable,2744,2564,1066.0725,0.0,0.025534782685533615
AP-01,Accounts Payable,2770,2562,1064.4141666666667,0.0,0.025495061952387564
AP-10,Accounts Payable,2799,2593,1061.4893333333334,0.0,0.025425005756811683
AP-02,Accounts Payable,2744,2556,1049.5771666666667,0.0,0.025139683147751613
AP-08,Accounts Payable,2743,2559,1048.9906666666668,0.0,0.025125635181928403
TA-05,Treasury Analyst,2321,2255,715.8343333333333,0.0,0.01714580775745599
TA-06,Treasury Analyst,2255,2203,688.4665,0.0,0.016490287915474727
TA-02,Treasury Analyst,2223,2170,682.5796666666666,0.0,0.016349285300856466
TA-03,Treasury Analyst,2190,2145,672.0861666666666,0.0,0.01609794288079531
TA-01,Treasury Analyst,2156,2116,669.1093333333333,0.0,0.01602664117077304
TA-04,Treasury Analyst,2123,2067,645.0463333333333,0.0,0.015450279360706655
RC-07,Receiving Clerk,1566,1566,576.9068333333333,0.0,0.013818188368020025
RC-08,Receiving Clerk,1543,1543,574.9336666666667,0.0,0.013770926683626446
RC-04,Receiving Clerk,1544,1544,568.0183333333334,0.0,0.013605289230390677
RC-03,Receiving Clerk,1492,1492,556.0776666666666,0.0,0.013319283983605178
RC-06,Receiving Clerk,1500,1500,553.8185,0.0,0.013265171969756464
RC-01,Receiving Clerk,1468,1468,540.1823333333334,0.0,0.012938555766358432
RC-02,Receiving Clerk,1461,1461,537.9150000000001,0.0,0.012884248142869098
RC-05,Receiving Clerk,1426,1426,527.6886666666667,0.0,0.012639304952479611
EB-02,ERP Bot,11998,8981,303.66066666666666,1.0,0.007273341291026262
EB-01,ERP Bot,12002,8983,296.88933333333335,1.0,0.0071111529547189505
A-04,Approver,990,979,271.8446666666667,0.0,0.0065112780674434975
A-08,Approver,999,986,270.063,0.0,0.006468603229520755
A-05,Approver,982,975,269.1543333333333,0.0,0.006446838662976807
A-12,Approver,993,982,269.0815,0.0,0.006445094144345168
A-10,Approver,998,984,267.30966666666666,0.0,0.006402654836397864
A-06,Approver,988,983,264.1383333333333,0.0,0.00632669442330208
A-01,Approver,967,961,263.4016666666667,0.0,0.006309049635311574
A-02,Approver,967,955,259.08866666666665,0.0,0.006205743792863984
A-09,Approver,971,964,258.6166666666667,0.0,0.006194438354042918
A-11,Approver,963,953,258.2438333333333,0.0,0.00618550817514365
A-03,Approver,954,949,255.79983333333334,0.0,0.00612696899616338
A-07,Approver,951,944,254.28766666666664,0.0,0.0060907492763810555
PB-02,Payment Bot,6094,6094,203.9735,1.0,0.0048856142486629105
PB-01,Payment Bot,5906,5906,196.25766666666667,1.0,0.004700803058613019
R-15,Requester,783,779,133.26516666666666,0.9003831417624522,0.0031919940439179804
R-06,Requester,786,784,127.09516666666667,0.9083969465648855,0.00304420896441378
